prcode,active,ldate
0020500,Y   ,41:53.4
0061485,Y   ,42:14.8
0208842,Y   ,42:36.1
0230326,N   ,43:18.3
0191067,Y   ,43:18.6
0136470,Y   ,43:19.0
0208134,Y   ,43:19.5
0207678,Y   ,43:40.8
0038170,Y   ,43:41.2
0202069,Y   ,43:41.4
0096552,Y   ,44:02.7
0191677,Y   ,44:03.0
0179124,Y   ,44:03.3
0204155,Y   ,44:03.6
0077655,Y   ,44:04.0
0179807,Y   ,45:07.2
0224271,Y   ,45:07.6
0137808,Y   ,45:07.9
0236075,N   ,45:29.1
0154050,Y   ,45:29.4
0163304,Y   ,45:29.8
0226121,Y   ,45:30.0
0239180,Y   ,45:30.4
0195163,Y   ,45:30.6
0203397,Y   ,45:31.0
0110817,Y   ,45:31.2
0219554,Y   ,45:52.4
0003829,Y   ,45:52.8
0200179,Y   ,45:52.9
0210085,Y   ,45:53.1
0141692,Y   ,45:53.5
0231032,N   ,46:14.6
0236364,N   ,46:14.8
0237041,N   ,46:15.1
0119851,Y   ,46:15.4
0206983,Y   ,46:15.9
0179706,Y   ,46:16.2
0209255,Y   ,46:16.5
0209329,N   ,46:16.7
0216454,N   ,46:37.8
0217858,Y   ,46:38.1
0218737,N   ,46:39.1
0084676,Y   ,47:00.4
0194991,Y   ,47:00.8
0221769,Y   ,47:01.1
0216574,Y   ,47:22.4
0049230,Y   ,47:22.8
0076272,Y   ,09:46.1
0181238,Y   ,09:46.4
0082716,Y   ,09:46.7
0229844,N   ,09:46.9
0191755,Y   ,09:47.2
0206475,Y   ,09:47.5
0216622,Y   ,09:47.8
0006461,Y   ,09:48.0
0081907,Y   ,09:48.3
0037117,Y   ,09:48.6
0112440,Y   ,09:48.7
0218032,Y   ,10:10.0
0230918,N   ,10:10.2
0215265,Y   ,10:10.5
0226706,Y   ,10:10.8
0243314,N   ,10:11.0
0117282,Y   ,10:11.3
0165607,N   ,10:11.5
0232263,N   ,10:11.5
0227016,Y   ,10:32.9
0191561,Y   ,10:33.2
0206654,Y   ,10:33.4
0226692,N   ,10:33.6
0229960,N   ,10:33.8
0227011,Y   ,10:34.0
0128449,Y   ,10:34.3
0220183,Y   ,10:34.4
0236990,N   ,10:34.6
0216395,Y   ,10:35.0
0224638,Y   ,10:35.3
0133971,Y   ,10:35.6
0171500,N   ,10:56.8
0210573,Y   ,10:57.3
0169173,Y   ,10:57.6
0218204,Y   ,10:57.8
0217719,Y   ,10:58.0
0051687,Y   ,10:58.4
0222137,Y   ,10:58.6
0109684,Y   ,10:58.9
0213707,Y   ,10:59.2
0005828,Y   ,11:41.6
0154051,Y   ,11:44.7
0207250,Y   ,11:44.9
0222256,Y   ,11:45.2
0235777,N   ,11:45.5
0123819,Y   ,11:45.8
0161680,Y   ,11:46.2
0200445,Y   ,11:46.5
0213299,Y   ,11:46.8
0218427,Y   ,11:47.1
0136471,Y   ,12:08.4
0200228,Y   ,12:08.7
0216739,Y   ,12:08.8
0237109,N   ,12:09.0
0044468,Y   ,12:09.3
0165942,Y   ,12:09.6
0221737,Y   ,12:09.8
0234428,Y   ,12:10.1
0174901,Y   ,12:10.5
0236961,N   ,12:31.7
0201900,Y   ,12:32.0
0123426,N   ,12:32.2
0190639,N   ,12:32.3
0209252,Y   ,12:32.4
0224070,Y   ,12:32.7
0128234,Y   ,12:33.0
0207831,Y   ,12:33.2
0222290,Y   ,12:33.5
0220065,Y   ,12:54.8
0128239,Y   ,12:55.2
0212518,Y   ,12:55.5
0234450,Y   ,12:55.7
0222763,Y   ,12:55.9
0210568,Y   ,12:56.2
0229459,N   ,12:56.4
0157006,Y   ,12:56.7
0124473,Y   ,12:57.0
0215638,N   ,12:57.2
0226346,N   ,12:57.3
0215155,Y   ,12:57.4
0008099,Y   ,12:57.7
0188560,Y   ,12:58.0
0227680,Y   ,13:19.3
0218157,N   ,13:19.4
0161709,Y   ,13:19.7
0237950,Y   ,13:19.9
0238348,N   ,13:20.1
0233344,Y   ,13:20.4
0233532,N   ,13:20.6
0084942,Y   ,13:20.9
0216277,Y   ,13:21.2
0180545,Y   ,13:21.5
0205641,Y   ,13:21.9
0041880,Y   ,13:22.2
0118379,Y   ,13:43.5
0157345,Y   ,13:43.8
0210245,Y   ,13:44.1
0199268,Y   ,13:44.4
0241693,N   ,13:44.5
0214493,Y   ,13:44.8
0222251,Y   ,14:27.2
0182201,Y   ,14:27.4
0095387,Y   ,14:27.7
0227889,N   ,14:27.8
0231828,N   ,14:28.0
0177242,Y   ,14:28.2
0060335,Y   ,14:51.5
0170512,Y   ,14:51.8
0204083,Y   ,14:52.1
0194159,Y   ,14:52.3
0173885,Y   ,15:13.5
0194731,Y   ,15:13.8
0133560,Y   ,15:14.1
0172934,Y   ,15:14.4
0203480,N   ,15:14.6
0007418,Y   ,15:35.9
0226998,Y   ,15:36.7
0219604,Y   ,15:58.1
0235208,N   ,15:58.1
0216524,Y   ,15:58.3
0217996,Y   ,15:58.6
0172781,Y   ,15:58.9
0214917,Y   ,15:59.1
0205588,Y   ,15:59.4
0165592,Y   ,15:59.7
0169205,Y   ,16:42.0
0214579,Y   ,16:42.3
0236739,Y   ,16:42.6
0081260,N   ,16:42.7
0181051,Y   ,16:43.1
0241065,N   ,16:43.3
0044545,Y   ,16:43.5
0181325,Y   ,16:43.8
0013862,Y   ,17:50.5
0157351,Y   ,17:50.8
0203942,Y   ,17:51.1
0199368,Y   ,18:12.4
0119820,Y   ,18:12.7
0193835,Y   ,18:13.0
0237241,N   ,18:13.1
0221069,Y   ,18:13.3
0225046,N   ,18:13.3
0079792,Y   ,18:13.5
0225939,N   ,18:13.5
0224514,N   ,18:13.7
0133333,Y   ,18:14.0
0057222,Y   ,18:14.3
0165354,Y   ,18:14.6
0225041,Y   ,18:35.9
0227020,Y   ,18:36.2
0092696,Y   ,18:36.6
0216075,Y   ,18:36.7
0178553,Y   ,18:36.9
0057973,Y   ,18:37.1
0240489,N   ,18:37.3
0205678,Y   ,18:37.6
0181889,N   ,18:37.9
0205429,Y   ,18:38.0
0166990,Y   ,18:38.4
0208024,Y   ,18:38.6
0211898,Y   ,18:59.9
0062561,Y   ,19:00.3
0219647,Y   ,19:00.6
0224095,Y   ,19:00.9
0157316,Y   ,19:01.2
0221801,Y   ,19:01.5
0083623,Y   ,19:01.7
0203509,Y   ,19:01.9
0218010,Y   ,19:02.2
0211353,Y   ,19:02.5
0232242,N   ,19:02.7
0195235,Y   ,19:03.0
0222355,Y   ,19:24.3
0231046,N   ,19:24.4
0197178,Y   ,19:24.7
0219553,Y   ,19:25.1
0202375,Y   ,19:25.4
0021523,Y   ,19:25.6
0153433,Y   ,19:26.0
0228763,N   ,19:26.1
0216963,Y   ,19:26.4
0110820,Y   ,19:26.7
0230049,N   ,19:26.9
0224667,N   ,19:27.1
0207791,Y   ,19:27.3
0192755,Y   ,20:09.6
0226292,Y   ,20:10.0
0208680,Y   ,20:10.2
0208719,Y   ,20:10.4
0227563,Y   ,20:10.7
0024200,Y   ,20:32.0
0240070,Y   ,20:32.4
0233634,N   ,20:32.5
0061727,Y   ,20:32.8
0061973,N   ,20:56.8
0062012,Y   ,21:36.9
0024402,Y   ,22:13.8
0192546,Y   ,22:33.6
0165591,Y   ,22:33.9
0206963,Y   ,24:45.3
0234437,N   ,24:45.4
0206036,N   ,24:45.6
0192130,Y   ,24:45.9
0204809,Y   ,24:46.2
0220855,Y   ,24:46.5
0166336,Y   ,24:46.8
0217285,Y   ,24:47.1
0063993,Y   ,24:47.5
0205180,Y   ,24:47.8
0185999,Y   ,24:48.1
0041193,Y   ,25:09.4
0196412,Y   ,25:09.7
0190403,Y   ,25:10.0
0128350,Y   ,25:33.4
0026372,Y   ,25:33.7
0221809,Y   ,25:33.9
0159360,Y   ,25:34.2
0221632,Y   ,25:34.6
0155242,Y   ,25:34.7
0207793,Y   ,25:35.0
0218219,N   ,25:35.2
0236502,N   ,25:56.3
0206653,Y   ,25:56.6
0215622,Y   ,25:56.9
0209713,Y   ,25:57.2
0169124,Y   ,25:57.5
0228284,N   ,25:57.7
0091104,Y   ,25:58.0
0069421,Y   ,25:58.3
0228689,N   ,25:58.4
0020291,Y   ,25:58.7
0216569,Y   ,25:59.0
0187258,Y   ,26:20.2
0153637,Y   ,26:20.5
0047298,N   ,26:20.6
0210711,Y   ,26:20.7
0233766,Y   ,26:21.0
0194925,Y   ,26:21.1
0075805,Y   ,26:21.5
0180800,Y   ,26:50.2
0200699,Y   ,26:50.5
0225147,Y   ,26:50.8
0225000,Y   ,28:39.4
0175040,Y   ,28:39.7
0054540,Y   ,28:40.1
0154527,Y   ,28:40.3
0135343,Y   ,29:01.7
0232062,N   ,29:01.8
0223039,Y   ,29:02.1
0192549,Y   ,29:02.4
0203392,Y   ,29:02.6
0239158,Y   ,29:02.8
0100588,Y   ,29:24.1
0220908,Y   ,29:24.4
0190878,Y   ,29:24.7
0189072,Y   ,29:25.0
0050206,Y   ,29:25.3
0151724,Y   ,29:25.6
0190568,Y   ,29:26.0
0037986,Y   ,29:47.2
0156322,Y   ,30:08.5
0191857,Y   ,30:08.8
0024181,Y   ,30:09.1
0211211,Y   ,30:09.3
0192337,Y   ,30:09.6
0093682,Y   ,30:09.9
0212401,Y   ,30:10.2
0203990,Y   ,30:10.5
0207837,Y   ,30:10.7
0123000,Y   ,30:11.0
0043001,Y   ,30:11.2
0221074,Y   ,30:32.5
0220229,Y   ,30:32.8
0187045,Y   ,30:33.1
0222286,Y   ,30:33.4
0215064,Y   ,30:33.7
0168477,Y   ,30:34.0
0233063,N   ,30:34.2
0227219,N   ,30:34.5
0210414,Y   ,30:34.8
0237556,N   ,30:35.0
0043623,Y   ,30:35.3
0228653,Y   ,30:35.6
0127626,Y   ,30:35.9
0215663,Y   ,30:57.2
0206094,Y   ,30:57.5
0218710,Y   ,30:57.8
0216408,Y   ,30:58.1
0212531,Y   ,30:58.5
0048935,Y   ,31:19.8
0037558,Y   ,31:41.1
0221355,Y   ,31:41.4
0230726,N   ,32:02.5
0191061,Y   ,32:02.9
0135697,Y   ,32:03.2
0215659,Y   ,32:03.4
0064732,Y   ,32:03.7
